n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,732818.114244744,6.2700000000000005,0.6279999999999999,0.99,1133568.0,291283.0,2.0
2.0,745915.7796677861,6.176,0.612,1.97,1132544.0,291324.6,8.0
4.0,739256.2863310259,6.226,0.628,3.844,1130496.0,291401.6,47.4
8.0,698625.0577289229,6.5920000000000005,0.678,7.32,1134592.0,291565.8,124.2
16.0,628566.9842831944,7.312,0.8219999999999998,13.484,1134592.0,291866.4,311.2
32.0,596367.3546619487,7.6659999999999995,1.08,23.528,1118412.8,292537.0,797.4
64.0,521692.66282428,8.528,1.476,38.730000000000004,1119232.0,293771.2,4166.8
