n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,743516.446522215,6.242,0.562,0.99,1108787.2,276521.6,2.0
2.0,735770.781007934,6.324,0.5539999999999999,1.97,1107148.8,276221.0,40.4
4.0,711904.0765251354,6.506,0.612,3.845999999999999,1107763.2,276536.4,143.4
8.0,673107.9772885354,6.8740000000000006,0.69,7.3180000000000005,1104896.0,276453.6,249.6
16.0,579353.2261302746,7.992,1.464,13.691999999999998,1100390.4,276488.2,1488.0
32.0,491556.62433128926,8.924,1.916,24.69,1091379.2,276473.2,8897.8
64.0,326413.55744500266,11.931999999999999,5.816,45.564,1076838.4,276552.6,68429.0
