n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,847420.9809362622,5.522,0.43600000000000005,0.99,793600.0,197615.4,2.0
2.0,849530.2366472541,5.534000000000001,0.41600000000000004,1.97,794419.2,197930.0,48.8
4.0,801342.9902021224,5.890000000000001,0.422,3.8680000000000008,792166.4,197731.2,162.4
8.0,765789.230168239,6.204000000000001,0.834,7.442,790528.0,197857.2,332.8
16.0,647405.8878042565,7.172,1.3539999999999999,13.989999999999998,786022.4,197794.4,5471.2
32.0,492744.06908400694,8.75,2.282,26.186,777830.4,197784.0,47647.8
64.0,253269.796409868,11.874,9.966,49.228,762675.2,198175.0,180492.6
