n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,565414.0563153058,9.49,0.29000000000000004,0.99,495616.0,125735.6,2.0
2.0,559771.4707643902,9.553999999999998,0.34800000000000003,1.816,495616.0,125787.8,5.8
4.0,555013.7322264584,9.718,0.358,3.054,495616.0,125885.8,40.4
8.0,519238.6886712144,10.347999999999999,0.4600000000000001,4.768000000000001,495616.0,126095.2,75.8
16.0,421503.79151453136,12.648,0.47400000000000003,6.790000000000001,495616.0,126485.2,180.0
32.0,300290.6600209506,17.502,0.648,9.852,495616.0,127264.4,335.8
64.0,172241.31090529994,29.944,1.172,15.437999999999999,463872.0,128790.8,667.0
