n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,286748.049639737,14.436000000000002,3.2060000000000004,0.99,3335372.8,833431.6,2.0
2.0,287307.94568152126,14.448000000000002,3.1740000000000004,1.97,3335577.6,833438.6,25.8
4.0,284359.197342707,14.437999999999999,3.4579999999999997,3.836,3333324.8,833443.0,90.4
8.0,266384.7659762113,15.34,3.772,7.3260000000000005,3329228.8,833466.0,146.4
16.0,145741.8428294983,16.098,18.556,14.382000000000001,3329638.4,833504.2,1855.0
32.0,71228.61683077885,16.310000000000002,54.24399999999999,28.562,3312640.0,833586.0,8402.8
64.0,35103.49433892636,17.228,124.35,55.124,3280486.4,833758.0,41572.4
