n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,1049917.9739566825,4.436000000000001,0.36800000000000005,0.99,635904.0,158312.4,2.0
2.0,1057418.7504626482,4.450000000000001,0.33,1.97,636723.2,158524.2,37.4
4.0,1031331.1806175389,4.568,0.33,3.8619999999999997,636108.8,158630.0,123.8
8.0,983942.0974850807,4.754,0.44000000000000006,7.409999999999999,633036.8,158445.4,261.6
16.0,790811.7057220255,5.859999999999999,1.184,13.998,630374.4,158476.0,3618.8
32.0,593733.7625584103,7.348000000000001,1.6600000000000001,26.342000000000002,619724.8,158461.8,28135.2
64.0,303091.6185463442,11.136000000000001,7.832000000000001,50.504,606617.6,158706.8,134563.4
