n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,494295.91804267594,10.366,0.9119999999999999,0.99,808960.0,201871.4,2.0
2.0,495301.49944462033,10.262,0.968,1.814,807936.0,201881.8,11.6
4.0,492674.0758965046,10.256,0.978,3.156,806297.6,201895.2,45.6
8.0,476771.1369405525,10.722,1.104,4.712000000000001,805888.0,201931.2,81.2
16.0,372590.94044121087,13.324000000000002,1.4780000000000002,7.25,805888.0,202011.4,146.2
32.0,256798.93564112167,17.942,3.064,10.802000000000001,789504.0,202117.4,592.8
64.0,127165.85650010062,24.342000000000002,16.866,19.369999999999997,789504.0,202371.0,4102.4
