n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,536196.1318734343,8.733999999999998,0.674,0.99,1108172.8,276410.2,2.0
2.0,535039.701667262,8.796,0.642,1.9740000000000002,1106534.4,276085.4,54.8
4.0,531953.0758458442,8.818000000000001,0.71,3.876,1102438.4,275336.6,112.0
8.0,485271.22086646187,9.936000000000002,2.22,7.514,1098752.0,274983.4,270.8
16.0,375773.93604939606,12.596,2.222,14.372,1094656.0,274819.2,1435.4
32.0,260212.09125231867,18.018,3.02,27.318,1088512.0,275664.8,5812.4
64.0,134897.2171451139,33.552,6.814,54.291999999999994,1073152.0,275685.6,41943.8
