n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,530054.2137306671,9.814,0.8619999999999999,0.99,731136.0,182352.2,2.0
2.0,517885.623845714,10.026,0.8400000000000001,1.796,730112.0,182359.4,13.0
4.0,520823.7614561363,10.008,0.9219999999999999,2.98,728064.0,182373.6,41.6
8.0,486993.6749480392,10.564,1.15,4.578,723968.0,182411.2,97.6
16.0,380688.4274895997,13.209999999999999,1.4999999999999998,6.792,723968.0,182486.8,149.2
32.0,261201.72530583828,18.392,2.3939999999999997,10.052,723968.0,182580.2,398.2
64.0,135321.71309419503,25.17,13.379999999999999,18.318,723968.0,182828.4,7426.0
