n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,530540.9669877045,9.954,0.41,0.99,616448.0,156900.6,2.0
2.0,525446.41279605,10.178,0.39,1.812,616448.0,156953.0,7.2
4.0,511929.21441054496,10.476,0.40599999999999997,3.066,614400.0,157052.6,35.6
8.0,488533.3864441059,10.928,0.49399999999999994,4.702,610713.6,157263.0,87.8
16.0,399935.2267818757,13.202000000000002,0.626,6.872,610304.0,157677.2,205.4
32.0,292757.3020596906,17.904,0.73,9.703999999999999,593920.0,158454.2,374.8
64.0,169051.75294037475,30.386000000000003,1.342,15.581999999999999,594944.0,160103.2,828.0
