n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,738645.3254298846,6.5120000000000005,0.29800000000000004,0.99,518963.2,129117.4,2.0
2.0,764023.8067770953,6.252,0.34199999999999997,1.98,516505.6,128445.2,23.6
4.0,739627.6354480919,6.462000000000001,0.37199999999999994,3.9,514252.8,128167.2,77.2
8.0,669033.7999066401,7.098000000000001,0.526,7.590000000000001,511385.6,127933.4,282.6
16.0,470892.81090264133,9.99,0.806,14.709999999999999,508313.6,128385.0,1101.8
32.0,280118.2137453988,16.824,1.236,28.93,497049.6,127632.6,3672.4
64.0,142828.77755342587,32.55,4.332,57.82000000000001,480460.8,128236.2,20864.6
