n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,571594.1136786236,8.05,0.756,0.99,752640.0,187751.0,2.0
2.0,612737.345904312,7.467999999999999,0.7619999999999999,1.98,751616.0,187513.8,11.6
4.0,603135.7678785155,7.554,0.8320000000000001,3.8880000000000003,749977.6,187221.2,55.8
8.0,549903.6145546518,8.191999999999998,1.1380000000000001,7.552,746905.6,187225.4,200.0
16.0,390225.77439886954,11.56,1.6320000000000001,14.669999999999998,742400.0,186918.6,1013.6
32.0,239079.4174063134,18.724,2.596,28.633999999999997,731955.2,186923.8,2898.0
64.0,118110.62130311425,34.802,9.094,57.431999999999995,718848.0,186952.6,15964.0
