n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,734201.8562686399,6.5,0.35200000000000004,0.99,538624.0,135518.0,2.0
2.0,771245.9173815623,6.232000000000001,0.302,1.98,536576.0,135035.8,14.2
4.0,754597.2711298357,6.324000000000001,0.368,3.896,536576.0,135271.6,65.8
8.0,684905.5948463185,6.909999999999999,0.4880000000000001,7.589999999999999,533913.6,135118.4,157.8
16.0,482506.68275312317,9.748000000000001,0.734,14.680000000000001,531251.2,135490.8,436.0
32.0,284162.3807046393,16.636,1.1139999999999999,28.948,527360.0,136482.2,1742.4
64.0,144955.08848010126,32.122,4.126,57.50599999999999,519577.6,138137.4,15374.4
