n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,535916.362603545,10.07,0.358,0.99,609689.6,151799.4,2.0
2.0,518325.2650509613,10.408,0.378,1.802,610099.2,151916.4,14.6
4.0,499424.1603167926,10.748000000000001,0.394,3.0680000000000005,609075.2,151839.4,40.0
8.0,481848.8072279875,11.102,0.44000000000000006,4.702,607641.6,152100.6,110.0
16.0,382778.0910757849,13.84,0.852,7.2219999999999995,603340.8,152199.4,266.6
32.0,280393.93758919486,18.528,0.9179999999999999,10.873999999999999,594944.0,152289.6,491.2
64.0,159828.41056106598,32.008,1.24,19.178000000000004,586956.8,152475.4,715.0
