n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,665456.7847045262,7.128,0.43600000000000005,0.99,660480.0,166684.0,2.0
2.0,706695.0121398426,6.714000000000001,0.42800000000000005,1.98,655155.2,165629.6,13.0
4.0,696599.8071878257,6.787999999999999,0.45599999999999996,3.8920000000000003,655974.4,166114.6,57.6
8.0,631210.0472978533,7.446000000000001,0.584,7.534000000000001,654336.0,166276.6,161.4
16.0,459934.062729603,10.244,0.7539999999999999,14.596,654950.4,167251.8,436.6
32.0,282094.67544805445,16.727999999999998,1.1480000000000001,28.444,647168.0,167850.2,1726.8
64.0,146504.0657781295,31.858000000000004,4.587999999999999,56.63399999999999,641228.8,169442.4,14606.2
