n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,424970.76610171515,12.196000000000002,0.6639999999999999,0.99,1100800.0,281571.6,2.0
2.0,421026.5522096323,12.356,0.688,1.83,1099776.0,281619.4,10.8
4.0,413661.6393514364,12.594,0.6839999999999999,3.154,1097728.0,281713.6,42.4
8.0,392060.12322833796,13.347999999999999,0.7460000000000001,4.87,1101414.4,281926.4,102.0
16.0,335926.55853732553,15.472,0.8800000000000001,7.031999999999999,1101824.0,282354.4,239.6
32.0,268870.0305334367,19.16,1.076,9.684000000000001,1085440.0,283149.4,471.2
64.0,162933.08256475412,31.21,1.8259999999999998,15.282,1053900.8,284792.0,1243.8
