n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,624845.8545031837,7.581999999999999,0.476,0.99,794828.8,197852.8,2.0
2.0,625113.6884423175,7.595999999999999,0.46399999999999997,1.98,790528.0,196972.4,30.0
4.0,620498.3011779415,7.632000000000001,0.49400000000000005,3.8920000000000003,789299.2,197031.8,90.2
8.0,570595.1408101121,8.331999999999999,0.6880000000000001,7.540000000000001,788070.4,197309.0,245.4
16.0,418703.6345417577,11.308,1.27,14.648,780902.4,196611.8,1190.4
32.0,270249.3753411781,17.392,1.8739999999999999,28.054000000000002,774758.4,197017.4,5916.4
64.0,137569.77658609062,33.352,4.492,56.208000000000006,756531.2,196617.8,39739.4
