n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,412770.16472566576,12.094,1.274,0.99,1277952.0,318992.6,2.0
2.0,404539.6054471277,12.304000000000002,1.3339999999999999,1.8240000000000003,1276928.0,319001.2,57.2
4.0,395814.37274753366,12.622,1.408,3.132,1276928.0,319015.4,80.8
8.0,379384.91021298,12.937999999999999,1.5859999999999999,5.116,1272832.0,319057.4,153.0
16.0,312677.06898971257,15.085999999999999,2.674,7.43,1264640.0,319133.0,363.8
32.0,172937.70130613277,17.07,13.290000000000001,13.297999999999998,1249280.0,319264.0,4440.2
64.0,88795.6421021905,19.592000000000002,38.72,23.518,1248870.4,319555.8,20283.4
