n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,343547.07657593687,13.162,1.598,0.99,3070976.0,790250.0,2.0
2.0,343841.1762801922,13.174000000000001,1.592,1.9659999999999997,3069952.0,790284.4,10.8
4.0,342763.9401924817,13.238,1.58,3.8199999999999994,3067904.0,790349.4,56.4
8.0,324616.9983112652,13.914000000000001,1.7719999999999998,7.212000000000001,3067904.0,790500.4,164.0
16.0,297401.4264293923,15.112,1.996,13.15,3067904.0,790816.0,440.2
32.0,285931.20659493346,15.518,2.312,22.278,3051724.8,791422.4,1649.4
64.0,255113.88656086414,16.834,3.118,35.178,3020390.4,792620.6,10367.6
