n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,258911.26514596105,19.246000000000002,1.582,0.99,3036160.0,780250.0,2.0
2.0,257310.1988035941,19.406,1.6300000000000001,1.8519999999999999,3036979.2,780295.8,11.4
4.0,254369.60131106531,19.671999999999997,1.6600000000000001,3.2379999999999995,3035136.0,780397.4,47.6
8.0,240435.85263910875,20.766000000000002,1.8059999999999998,5.198,3035136.0,780622.2,134.8
16.0,212734.86721318518,23.344,2.098,7.6259999999999994,3035136.0,781057.4,376.0
32.0,190871.73509278442,25.878000000000004,2.4199999999999995,10.184000000000001,3018752.0,781874.4,1158.8
64.0,140181.17164817586,35.042,3.29,14.486,3019776.0,783814.0,4881.8
