n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,463717.5559563084,9.684000000000001,1.184,0.99,1222041.6,304869.8,2.0
2.0,475156.6254868357,9.442,1.1760000000000002,1.9780000000000002,1219788.8,304556.6,16.2
4.0,475333.69793189893,9.361999999999998,1.29,3.88,1216921.6,304176.0,66.0
8.0,446916.8788287755,9.879999999999999,1.5859999999999999,7.494,1214464.0,304106.4,210.6
16.0,331504.1017151672,13.047999999999998,2.368,14.331999999999999,1209753.6,303729.4,830.8
32.0,187868.44827425727,17.374000000000002,9.538,27.996,1203814.4,304263.6,3251.0
64.0,89219.42591225405,22.729999999999997,33.279999999999994,56.227999999999994,1184358.4,304248.2,15333.4
