n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,701542.0446601654,6.185999999999999,1.002,0.99,928768.0,231738.0,2.0
2.0,714253.8393900539,6.132,0.9620000000000001,1.97,928768.0,231746.2,9.8
4.0,713059.9807618919,6.192,0.954,3.8720000000000008,928972.8,231760.4,45.2
8.0,667833.9199861691,6.57,1.2079999999999997,7.398000000000001,928768.0,231792.2,79.0
16.0,504809.34324279724,6.960000000000001,3.246,14.232,920780.8,231848.4,593.2
32.0,253276.03473238685,7.290000000000001,12.638000000000002,27.6,920780.8,231979.4,5615.8
64.0,132462.42878372513,8.02,29.738,50.664,920576.0,232220.2,25666.0
