n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,811818.9673767802,5.422,0.788,0.99,771072.0,192381.6,2.0
2.0,822298.59711788,5.378,0.8160000000000001,1.97,771072.0,192391.8,13.2
4.0,812326.9363420678,5.4159999999999995,0.9,3.876,769024.0,192405.6,45.4
8.0,755069.870660863,5.766,1.106,7.468000000000001,764928.0,192446.6,76.0
16.0,595616.0763388772,6.470000000000001,2.174,14.362,756736.0,192522.8,322.2
32.0,300294.7763026921,6.564,10.32,28.15,756736.0,192691.6,3225.2
64.0,158400.08601324836,7.1739999999999995,24.98,51.91799999999999,724172.8,192994.2,19236.0
