n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,263819.8748758723,18.714,1.55,0.99,2969395.2,741596.0,2.0
2.0,258125.51246659033,19.208,1.5719999999999998,1.8719999999999999,2969190.4,741612.4,45.0
4.0,254165.06958559668,19.442,1.6480000000000001,3.3560000000000003,2967961.6,741744.2,142.6
8.0,238187.6825613486,21.012,3.222,5.749999999999999,2965708.8,741717.2,308.4
16.0,207748.22886181512,23.788,3.4940000000000007,9.056,2961817.6,741748.2,865.6
32.0,184445.6702133505,26.496000000000002,6.537999999999999,13.697999999999999,2956288.0,742177.6,2260.0
64.0,128090.73737562934,35.256,6.547999999999999,19.854,2948300.8,742769.8,15922.6
