n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,466167.00465411076,10.916,1.0139999999999998,0.99,966041.6,240914.8,2.0
2.0,458778.7675546541,11.006,1.048,1.8240000000000003,965836.8,240924.4,15.2
4.0,454712.14113980765,11.096,1.214,3.0740000000000003,965632.0,240941.4,41.4
8.0,435683.1704431569,11.45,1.362,5.004,961536.0,240981.8,102.2
16.0,348979.4492889578,13.941999999999998,1.948,7.273999999999999,953344.0,241062.8,195.0
32.0,220853.70071148555,16.816000000000003,7.268000000000001,11.794,953344.0,241179.6,1984.0
64.0,112187.36487136138,21.936,24.554000000000002,20.766000000000002,920780.8,241453.6,17471.8
