n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,1202772.3249887484,3.886,0.30599999999999994,0.99,528384.0,135354.6,2.0
2.0,1248769.41779236,3.768,0.28,1.97,528384.0,135394.4,8.4
4.0,1236846.4608016135,3.768,0.322,3.8620000000000005,528384.0,135463.2,40.0
8.0,1196597.634621285,3.918,0.34,7.424000000000001,528384.0,135614.6,109.4
16.0,1065735.5237668683,4.401999999999999,0.396,13.675999999999998,528384.0,135931.4,217.8
32.0,971008.1842465453,4.7780000000000005,0.5439999999999999,24.785999999999998,528384.0,136543.0,497.2
64.0,846082.3048811636,5.456,0.958,41.6,528998.4,137723.8,1545.4
