n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,591052.4707877567,7.112,1.448,0.99,1472512.0,367737.0,2.0
2.0,594207.6392471351,7.126,1.408,1.97,1471488.0,367744.2,17.2
4.0,585930.1588017596,7.172,1.568,3.8379999999999996,1469440.0,367751.0,54.2
8.0,543317.7566851428,7.564,1.9400000000000002,7.31,1469440.0,367773.2,86.4
16.0,326764.04609510227,8.014,7.530000000000001,14.267999999999997,1461248.0,367826.0,717.4
32.0,160522.45938840706,8.206,23.124,28.07,1444864.0,367925.6,6548.6
64.0,81921.42579444835,9.312,51.774,52.39,1444864.0,368109.6,30829.4
