n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,540949.3322608939,8.437999999999999,0.866,0.99,909516.8,226788.6,2.0
2.0,559707.2910234582,8.181999999999999,0.8480000000000001,1.9780000000000002,906854.4,226319.6,13.4
4.0,556854.6956424972,8.112,1.068,3.9,904806.4,226194.6,63.2
8.0,514658.29634936235,8.726,1.21,7.558,903577.6,226253.8,202.6
16.0,371061.2781521577,11.995999999999999,1.918,14.66,897638.4,225839.4,742.0
32.0,234821.69701266414,18.352,3.3319999999999994,28.562,889856.0,225951.6,2509.0
64.0,106920.5442928141,29.564,17.674,57.35600000000001,870195.2,226368.0,14138.2
