n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,1215507.170786087,3.868,0.28400000000000003,0.99,519782.4,129241.4,2.0
2.0,1221814.8784552836,3.854,0.278,1.97,518348.8,128942.4,29.8
4.0,1182665.4331763017,3.9880000000000004,0.29400000000000004,3.864,516915.2,128949.2,97.4
8.0,1146239.5264708214,4.144,0.316,7.4079999999999995,515481.6,129072.0,166.4
16.0,925638.6480716199,5.128,0.8480000000000001,14.196000000000002,512000.0,129100.0,1159.2
32.0,746270.9334473254,6.034000000000001,1.1720000000000002,26.0,503398.4,129170.6,8119.8
64.0,473800.659703408,8.278,3.854,48.553999999999995,487424.0,129430.2,67004.4
