n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,631491.7739473584,7.306,0.6599999999999999,0.99,674816.0,168229.2,2.0
2.0,665847.4042723703,6.860000000000001,0.71,1.98,672563.2,167898.6,18.2
4.0,650473.7077687983,7.074,0.734,3.902,670105.6,167366.0,64.2
8.0,592037.1746979493,7.67,0.9359999999999999,7.564,669900.8,167756.8,182.2
16.0,413322.41349552677,11.064,1.268,14.696000000000002,663347.2,167350.8,744.6
32.0,240410.77997248672,19.002000000000002,2.288,28.926,657612.8,168030.6,2273.6
64.0,121645.89865474108,36.388,7.130000000000001,57.842000000000006,644710.4,167586.0,16235.8
