n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,299548.5094646971,15.414000000000001,1.472,0.99,2996838.4,748366.2,2.0
2.0,295233.6481173675,15.624,1.52,1.97,2994380.8,748056.0,56.8
4.0,290464.9161250727,15.9,1.612,3.85,2991104.0,747466.4,181.2
8.0,275541.53233289253,17.004,3.2760000000000007,7.4,2983321.6,745976.8,398.8
16.0,232302.02193432028,20.124,4.220000000000001,13.925999999999998,2983321.6,747137.0,1651.4
32.0,196255.2407670999,22.562,4.738,25.121999999999996,2975129.6,747167.8,4729.2
64.0,114694.28853221927,32.209999999999994,13.984,47.18,2960179.2,747212.6,75553.8
