n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,352503.41333178105,12.908000000000001,1.4780000000000002,0.99,2996224.0,748343.4,2.0
2.0,348178.60840506793,13.079999999999998,1.4979999999999998,1.97,2996428.8,748453.2,72.8
4.0,345086.92682109494,13.218,1.494,3.8199999999999994,2995814.4,748567.0,190.0
8.0,323058.7409791338,14.373999999999999,3.0439999999999996,7.295999999999999,2993561.6,748592.6,400.6
16.0,280938.6573298698,16.212,3.474,13.451999999999998,2990080.0,748537.2,1549.4
32.0,251924.9639848073,17.068,7.153999999999999,24.044,2982502.4,748736.2,7241.4
64.0,148459.37191853818,20.368,16.074,42.809999999999995,2962432.0,748979.6,111081.6
