n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,620027.4041772936,7.612,0.506,0.99,821248.0,208241.2,2.0
2.0,646302.1388204268,7.303999999999999,0.49799999999999994,1.98,814489.6,206714.6,10.8
4.0,633082.0536494955,7.474000000000001,0.504,3.8979999999999997,815923.2,207172.0,58.6
8.0,585923.7913749367,7.997999999999999,0.6559999999999999,7.536,815308.8,207660.8,167.4
16.0,435777.4026746925,10.783999999999999,0.808,14.518,811622.4,207798.2,425.2
32.0,279889.7512799624,16.734,1.308,28.212,808345.6,209023.8,1489.0
64.0,145454.7218946962,32.147999999999996,4.37,56.065999999999995,797081.6,210777.6,13814.0
