n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,488797.1555772681,10.744,0.524,0.99,778240.0,198460.4,2.0
2.0,481318.21018541214,10.995999999999999,0.506,1.8199999999999998,778240.0,198511.8,8.8
4.0,469092.09720318054,11.326,0.502,3.09,778240.0,198605.0,34.0
8.0,448872.51587088424,11.786000000000001,0.61,4.746,774144.0,198814.4,88.8
16.0,375258.95453942084,13.99,0.7060000000000001,6.845999999999999,774144.0,199232.2,203.6
32.0,284356.6686636573,18.355999999999998,0.8119999999999999,9.676,757760.0,200006.6,404.6
64.0,166493.30895332983,30.644,1.642,15.786000000000001,726630.4,201641.8,932.2
