n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,496718.3224945309,10.652,0.488,0.99,767385.6,191079.4,2.0
2.0,482346.40975782496,10.95,0.492,1.8240000000000003,766361.6,190991.8,29.4
4.0,470068.26937931945,11.252,0.532,3.128,765952.0,191119.4,71.2
8.0,442497.6541711679,12.13,1.614,5.052,763904.0,191277.6,141.2
16.0,358315.19315658713,14.684000000000001,1.214,7.684,760422.4,191172.8,509.8
32.0,275620.65271446214,18.728,1.5859999999999999,11.41,754278.4,191646.0,1511.0
64.0,159778.4445406792,31.842000000000002,1.448,19.33,732160.0,191628.2,2768.6
