n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,811186.3192361149,5.728,0.492,0.99,811008.0,208125.0,2.0
2.0,846948.7284550542,5.500000000000001,0.5,1.97,811008.0,208160.8,8.0
4.0,840689.6055082313,5.584,0.514,3.87,811008.0,208228.6,44.6
8.0,797927.9758080455,5.876,0.5700000000000001,7.397999999999999,806912.0,208392.8,101.4
16.0,745681.1508113428,6.254,0.6719999999999999,13.824000000000002,806912.0,208680.4,259.0
32.0,697934.4945285802,6.634,0.7959999999999999,24.332,791142.4,209323.4,579.2
64.0,622581.1384673554,7.337999999999999,1.282,40.7,791552.0,210449.2,2775.0
