n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,431214.95869126386,12.139999999999999,0.5760000000000001,0.99,1081753.6,269637.0,2.0
2.0,419030.5138325997,12.453999999999999,0.624,1.834,1082163.2,269856.4,50.8
4.0,407407.6795135286,12.738,0.71,3.1919999999999997,1080524.8,269778.8,83.8
8.0,386976.3366841948,13.364,0.756,5.1579999999999995,1078476.8,269940.4,146.0
16.0,324311.91137607297,16.023999999999997,1.566,8.01,1074790.4,269939.2,409.8
32.0,255436.62469934495,20.008000000000003,1.6760000000000002,11.841999999999999,1068236.8,270334.0,946.8
64.0,155172.94640503536,32.61800000000001,2.63,19.676,1053696.0,270551.0,1918.2
