n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,1054171.0394796734,4.404,0.38,0.99,649216.0,166543.2,2.0
2.0,1086819.24992182,4.33,0.322,1.97,649216.0,166580.6,8.4
4.0,1078918.0843948333,4.308,0.388,3.8600000000000003,647168.0,166649.8,41.0
8.0,1027680.1176589194,4.572,0.392,7.382,643072.0,166798.6,97.8
16.0,930325.4408751831,5.024,0.504,13.834,643276.8,167109.6,236.4
32.0,855248.4602062736,5.428,0.6220000000000001,24.284,626688.0,167677.2,479.0
64.0,749005.7342323682,6.068,1.05,41.046,598425.6,168912.0,2028.0
