n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,264851.2355273244,16.166000000000004,2.8979999999999997,0.99,3095961.6,773348.2,2.0
2.0,265808.73163557705,16.096,2.9640000000000004,1.97,3094732.8,773111.2,23.6
4.0,261774.83549070527,16.262,3.1719999999999997,3.8579999999999997,3091660.8,772926.6,93.2
8.0,249920.45947438665,16.791999999999998,3.6,7.382000000000001,3086950.4,772070.8,178.4
16.0,170053.76722605122,19.406,10.416,14.252,3080806.4,771648.6,1120.6
32.0,78149.39320066031,21.298,42.589999999999996,28.413999999999998,3077734.4,772623.2,11863.4
64.0,36018.79818725642,25.994,111.266,56.572,3062988.8,772495.8,29768.2
