n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,536092.6629501354,8.738000000000001,0.67,0.99,1143808.0,291355.6,2.0
2.0,543795.6432441685,8.612000000000002,0.682,1.9720000000000002,1142579.2,291141.2,11.4
4.0,545361.1481222566,8.586,0.6859999999999999,3.8660000000000005,1140121.6,290799.6,53.8
8.0,506044.69034408964,9.148,0.874,7.4399999999999995,1137049.6,290592.2,168.2
16.0,392906.26484477514,11.898,0.9919999999999998,14.202000000000002,1137049.6,291530.2,410.2
32.0,270398.7069790349,17.16,1.5299999999999998,27.032,1130086.4,292229.6,1349.8
64.0,140596.77194933585,32.476,4.659999999999999,53.782,1119436.8,293500.8,13343.6
