n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,678232.0164320376,7.024000000000001,0.39999999999999997,0.99,635904.0,158267.4,2.0
2.0,701715.9376082236,6.806,0.384,1.98,633036.8,157650.2,28.6
4.0,670618.6462512085,7.135999999999998,0.74,3.896,634470.4,158196.4,88.4
8.0,620105.3772198901,7.62,0.5539999999999999,7.552,630988.8,157814.0,294.6
16.0,442471.5291703891,10.688,0.9960000000000001,14.634000000000004,627097.6,157710.4,1218.4
32.0,271018.342224972,17.316,1.752,28.384000000000004,616038.4,157317.6,4507.8
64.0,142053.13324342383,32.806,4.342,57.032000000000004,601497.6,157858.6,23862.0
