n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,232743.8112117887,20.182,2.994,0.99,3152281.6,787475.0,2.0
2.0,230554.53960128216,20.466,2.9379999999999997,1.86,3150848.0,787483.6,54.2
4.0,227710.23393761678,20.509999999999998,3.2920000000000003,3.274,3149004.8,787509.0,108.6
8.0,215300.07343755016,21.394,3.7379999999999995,5.376,3148800.0,787566.4,229.6
16.0,153205.33125100768,23.604000000000003,11.038,9.096,3148800.0,787660.0,1059.6
32.0,74195.07556392087,24.584,44.702,17.433999999999997,3149209.6,787835.8,7590.0
64.0,36055.721063919984,26.124000000000002,114.11999999999998,34.704,3148800.0,788301.6,29164.0
