n_threads,throughput,usertime,systemtime,cpuusage,max_rss,minor_pf,voluntary_ctx_switch
1.0,297117.8838445332,15.478,1.554,0.99,3080192.0,790028.0,2.0
2.0,296840.94436229434,15.437999999999999,1.6300000000000001,1.97,3077734.4,789569.6,12.4
4.0,293732.9557168969,15.602,1.654,3.85,3074048.0,788867.0,57.0
8.0,282045.24839737616,16.131999999999998,1.8679999999999999,7.322,3073228.8,789212.0,163.0
16.0,242308.30396023247,18.791999999999994,2.132,13.65,3071180.8,789555.4,565.2
32.0,206704.2692572352,21.736,2.7960000000000003,24.357999999999997,3061964.8,789590.0,1479.2
64.0,125308.84719263083,34.97,6.008,46.444,3058073.6,792353.2,13309.6
